Rank,Location,Name,Count
1,France,Institut G̩ographique National,52
2,Switzerland,Swiss Federal Office of Topography,38
3,Italy,Italian Military Geographic Institute,32
4,Iceland,National Land Survey of Iceland,20
5,Canada,Province of British Columbia,19
6,UK,Historic England Archive,17
7,Finland,National Land Survey of Finland,17
8,Austria,Austrian Federal Office of Surveying and Metrology,15
9,Japan,Geospatial Information Authority of Japan,14
10,Australia,"Victoria Department of Energy, Environment and Climate Action",12
